operaciones_ult_12m;gastos_ult_12m;limite_credito_tc;antiguedad_cliente;tasa_interes;ingresos;pct_ingreso;antiguedad_empleado;edad;estado_credito_N;estado_civil_N;importe_solicitado;duracion_credito;situacion_vivienda;objetivo_credito;falta_pago;estado_cliente;genero;personas_a_cargo
>74;>10k;3k_to_5k;25y_to_50y;<6p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;11000;3;HIPOTECA;INVERSIONES;N;ACTIVO;F;3
15_to_30;<1k;3k_to_5k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Activo;S;1500;2;ALQUILER;MEJORAS_HOGAR;Y;PASIVO;M;0
15_to_30;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;D;10000;2;OTROS;EDUCACIÓN;Y;PASIVO;M;3
>74;1k_to_4k;<3k;<25y;6p_to_12p;20k_to_50k;20_to_40;<5;25_to_30;Cancelado;S;6000;4;ALQUILER;INVERSIONES;N;ACTIVO;F;2
50_to_75;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;25_to_30;Cancelado;C;10000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;2
15_to_30;1k_to_4k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;25_to_30;Activo;N;22000;2;ALQUILER;SALUD;N;ACTIVO;M;4
30_to_50;1k_to_4k;<3k;<25y;6p_to_12p;20k_to_50k;40_to_60;<5;<25;Activo;C;18500;4;ALQUILER;SALUD;N;ACTIVO;F;0
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;<25;Cancelado;S;1500;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;<5;25_to_30;Cancelado;S;12375;4;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;F;3
>74;>10k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;8075;3;ALQUILER;PERSONAL;N;ACTIVO;M;1
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;25_to_30;Cancelado;N;3000;3;ALQUILER;PERSONAL;Y;ACTIVO;M;1
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;<5;<25;Cancelado;C;6250;4;ALQUILER;SALUD;Y;PASIVO;F;3
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;3200;4;ALQUILER;PERSONAL;N;ACTIVO;M;2
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;5500;4;ALQUILER;PERSONAL;N;ACTIVO;F;1
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;NA;<25;Activo;D;5000;3;ALQUILER;PERSONAL;N;PASIVO;F;2
50_to_75;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;25_to_30;Activo;C;3800;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;4
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;C;3900;3;ALQUILER;EDUCACIÓN;Y;PASIVO;M;4
>74;>10k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Activo;S;5000;2;ALQUILER;INVERSIONES;Y;ACTIVO;F;3
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;>10;25_to_30;Cancelado;D;11500;4;HIPOTECA;SALUD;N;ACTIVO;F;2
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;<25;Activo;S;4400;3;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;3
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;S;5000;2;ALQUILER;PERSONAL;N;ACTIVO;F;4
50_to_75;1k_to_4k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;S;12000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;F;3
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;25_to_30;Activo;C;19000;4;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;2
50_to_75;4k_to_6k;<3k;>50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;4000;4;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;0
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;25_to_30;Activo;N;3000;4;ALQUILER;SALUD;Y;PASIVO;M;3
50_to_75;1k_to_4k;3k_to_5k;>50y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;C;9000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;0
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;D;3075;3;ALQUILER;SALUD;N;ACTIVO;M;0
>74;4k_to_6k;<3k;<25y;12p_to_18p;>100k;<20;<5;25_to_30;Cancelado;C;7200;3;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;4
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;25_to_30;Cancelado;C;5400;4;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;F;4
50_to_75;8k_to_10k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;<25;Cancelado;N;24250;3;PROPIA;EDUCACIÓN;Y;PASIVO;M;1
>74;6k_to_8k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;25_to_30;Cancelado;D;6900;3;HIPOTECA;PERSONAL;N;ACTIVO;M;5
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;<25;Cancelado;S;5000;3;ALQUILER;EDUCACIÓN;Y;PASIVO;F;2
15_to_30;1k_to_4k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;40_to_60;5_to_10;<25;Activo;S;29100;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
50_to_75;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Activo;C;6000;4;ALQUILER;MEJORAS_HOGAR;N;PASIVO;M;3
>74;6k_to_8k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;>10;25_to_30;Cancelado;C;5000;4;HIPOTECA;SALUD;N;ACTIVO;M;1
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;<25;Activo;S;13350;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;1
30_to_50;1k_to_4k;3k_to_5k;>50y;6p_to_12p;50k_to_100k;20_to_40;<5;<25;Activo;C;18500;2;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;0
>74;>10k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;C;8000;4;ALQUILER;PERSONAL;N;ACTIVO;M;3
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;C;4000;2;ALQUILER;PERSONAL;Y;PASIVO;M;2
